"shapeid","x","y"
"0","103.7322042","1.3363133"
"0","103.7326927","1.3358911"
"0","103.7330028","1.3357224"
"0","103.7334643","1.3360648"
"0","103.7334619","1.3366111"
"0","103.7333435","1.3371755"
"0","103.7327973","1.3379311"
"0","103.7321023","1.3387867"
"0","103.7322176","1.3389913"
"0","103.7317826","1.3397679"
"0","103.7312335","1.3400768"
"0","103.7309868","1.3404003"
"0","103.7307348","1.3411992"
"0","103.7271843","1.3396846"
"0","103.7273299","1.3396206"
"0","103.7275072","1.339405"
"0","103.7274498","1.3390773"
"0","103.727277","1.3387259"
"0","103.7272245","1.3378652"
"0","103.7273203","1.3373115"
"0","103.7279796","1.3367914"
"0","103.7285343","1.3360461"
"0","103.72865","1.3352096"
"0","103.7289577","1.3352292"
"0","103.7290327","1.3354273"
"0","103.7289804","1.3356626"
"0","103.729085","1.3360024"
"0","103.7294357","1.3362284"
"0","103.7296365","1.3367183"
"0","103.7301505","1.3369672"
"0","103.7307528","1.3370877"
"0","103.7311676","1.3369781"
"0","103.7315967","1.3366641"
"0","103.7322042","1.3363133"
"1","103.7306936","1.3380153"
"1","103.7321805","1.3370036"
"1","103.7330853","1.336538"
"1","103.7331555","1.3370124"
"1","103.7328713","1.3371631"
"1","103.7318346","1.3385408"
"1","103.7319097","1.3393566"
"1","103.7310635","1.3397836"
"1","103.7305539","1.3406707"
"1","103.7301813","1.3406466"
"1","103.7299155","1.340589"
"1","103.7293595","1.3403436"
"1","103.7292871","1.3404495"
"1","103.7288611","1.3403248"
"1","103.7288619","1.3402259"
"1","103.7285465","1.3399891"
"1","103.7280353","1.3391485"
"1","103.7278848","1.3386409"
"1","103.7277302","1.3383307"
"1","103.7277762","1.3377072"
"1","103.7283689","1.3372264"
"1","103.7287206","1.337228"
"1","103.7290792","1.3373763"
"1","103.7299269","1.337458"
"1","103.7303605","1.3377951"
"1","103.7303838","1.3382996"
"1","103.730192","1.3385479"
"1","103.7300338","1.338912"
"1","103.7298852","1.3391066"
"1","103.7298069","1.3395271"
"1","103.7299313","1.3397529"
"1","103.7301234","1.3395271"
"1","103.7301617","1.339133"
"1","103.7302388","1.338958"
"1","103.7301553","1.3387824"
"1","103.7306936","1.3380153"
"2","103.7324555","1.3268459"
"2","103.732569","1.3269992"
"2","103.7328869","1.3270255"
"2","103.7329145","1.3269448"
"2","103.7332353","1.3270059"
"2","103.7332389","1.3271044"
"2","103.7333838","1.3271514"
"2","103.7334516","1.3272281"
"2","103.7334515","1.3272593"
"2","103.7333662","1.3272926"
"2","103.7332707","1.3273575"
"2","103.7332009","1.3274325"
