obstacle,vertX,vertY
7,1141.9557,805.1612
7,1136.6407,811.0827
7,1134.3629,819.81696
7,1098.6715,867.05493
7,1098.6715,875.3736
7,1101.7089,879.9186
7,1107.0236,883.32446
7,1149.5427,801.3005
7,1141.9557,805.1612
20,13.667594,242.15617
20,6.0741773,254.6758
45,29.61264,420.10052
45,18.981886,410.54767
46,75.169945,546.1744
46,75.92924,559.8688
46,129.07936,559.2632
46,157.92937,518.72644
46,145.78407,510.96457
46,121.48661,546.73175
46,75.169945,546.1744
47,27.333994,500.0598
47,45.55666,478.79428
47,88.83526,480.66925
47,121.486855,505.50604
47,129.07962,494.38663
47,91.115265,466.99817
47,39.483395,466.04916
47,20.500479,487.63513
52,173.1149,608.68945
52,173.11484,623.06024
52,228.54582,624.8627
52,257.39877,592.6672
52,246.76456,583.91125
52,221.70848,610.25586
52,173.1149,608.68945
53,214.87492,654.6975
53,214.87509,669.57855
53,268.02432,671.97565
53,298.39987,629.63226
53,287.76535,621.84973
53,260.4315,656.4774
53,214.87492,654.6975
54,257.39444,715.19495
54,257.3944,729.81494
54,280.9321,729.81494
54,282.45462,719.35864
54,291.566,726.5024
54,324.21533,685.08636
54,336.36395,685.69135
54,334.84525,689.7736
54,347.75302,690.44995
54,347.7483,703.2448
54,331.80798,724.0693
54,342.43344,732.212
54,360.65588,709.54626
54,360.6559,699.9695
54,364.45218,698.2133
54,364.4571,680.92053
54,353.82736,675.77045
54,339.40094,675.56885
54,337.11844,672.53326
54,324.21072,672.5808
54,318.8957,668.9377
54,282.4505,715.1237
54,257.39444,715.19495
55,173.87424,653.59375
55,173.87692,679.7241
55,198.17427,679.7238
55,198.17111,653.5819
55,173.87424,653.59375
56,217.15295,717.3191
56,217.15305,742.26337
56,241.44981,742.01416
56,241.44975,717.0817
56,217.15295,717.3191
57,185.26352,786.46765
57,194.37758,775.73926
57,214.11281,792.44934
57,249.03923,794.2296
57,252.83891,787.8561
57,278.65433,788.8291
57,280.9321,784.5926
57,293.08063,784.0942
57,298.39944,775.73834
57,310.5439,784.98413
57,300.6696,799.0005
57,283.96555,799.0003
57,283.21005,803.43726
57,257.3947,802.57104
57,252.84239,808.52716
57,208.804,806.7355
57,185.26352,786.46765
58,172.35559,702.88904
58,172.35555,754.85425
58,164.76555,764.39465
58,175.39531,773.59155
58,189.06259,756.05206
58,189.05966,703.1856
58,172.35559,702.88904
63,397.86514,899.7707
63,431.2736,899.17706
63,421.4028,897.3378
63,411.5322,897.9906
63,397.86514,899.7707
66,392.55005,898.5485
101,3.7960486,141.7384
101,12.14837,156.65512
130,78.96756,288.63806
130,78.96146,273.106
131,159.44765,227.20383
131,145.78587,247.71869
131,166.28113,260.2176
131,179.9537,239.68358
131,159.44765,227.20383
132,185.26286,129.36116
132,177.6643,142.71869
132,264.9867,192.37444
132,272.5794,179.02414
132,185.26286,129.36116
133,194.38014,204.81721
133,186.78148,218.73085
133,274.85736,268.6905
133,283.21518,254.76413
133,194.38014,204.81721
135,1.5184594,145.1798
135,1.5187161,169.32898
135,26.576483,168.88959
135,26.572487,144.72926
135,1.5184594,145.1798
136,47.07908,118.79803
136,47.075024,136.22026
136,108.5762,136.38638
136,132.11372,150.42493
136,140.46571,135.50822
136,110.85994,119.39934
136,47.07908,118.79803
137,263.4683,352.83878
137,274.85745,390.76544
137,288.52435,386.62384
137,277.89453,348.7091
137,263.4683,352.83878
138,154.88696,276.08646
138,144.26685,297.8216
138,165.5219,309.47714
138,177.67552,287.72186
138,154.88696,276.08646
139,183.74449,310.67566
139,181.46661,325.29575
139,252.84407,334.55948
139,254.35695,319.90814
139,183.74449,310.67566
140,259.67773,291.1612
140,261.9555,330.45322
140,277.1411,329.44412
140,274.86325,290.15216
140,259.67773,291.1612
141,277.1407,425.67435
141,288.52444,434.9103
141,274.8575,451.3341
141,277.13538,469.72784
141,353.82217,528.84875
141,367.48907,528.2672
141,367.4891,544.95215
141,349.27194,545.54205
141,261.94986,478.16528
141,257.39423,450.1356
141,277.1407,425.67435
142,236.89885,424.45276
142,249.04735,433.96988
142,273.33896,401.5168
142,261.94974,391.97583
142,236.89885,424.45276
143,159.44757,174.91821
143,147.29918,195.75656
143,170.07747,207.77766
143,180.70729,186.93938
143,159.44757,174.91821
145,196.65784,250.05496
145,189.05934,263.06564
145,249.04785,298.83948
145,257.394,285.83823
145,196.65784,250.05496
146,20.500422,133.31288
146,34.926643,133.36035
146,32.648773,82.36823
146,63.025574,74.87529
146,91.11289,88.90687
146,97.192825,76.747856
146,63.01974,59.67868
146,19.744207,70.74967
146,20.500422,133.31288
147,190.578,352.63702
147,189.06424,367.99042
147,258.15887,376.80618
147,260.43118,361.44232
147,190.578,352.63702
148,159.44774,398.41965
148,170.83684,407.7589
148,173.86966,403.31067
148,232.33815,447.28754
148,241.4495,436.8328
148,185.26305,394.36115
148,190.57794,387.12234
148,175.3971,376.28574
148,159.44774,398.41965
149,35.685947,194.91402
149,35.68596,210.36473
149,100.98348,212.50076
149,122.2432,224.41512
149,131.35445,211.0174
149,107.05769,196.89578
149,35.685947,194.91402
150,54.671352,162.36188
150,54.667797,175.9507
150,119.206055,176.30669
150,119.21173,162.7149
150,54.671352,162.36188
151,474.54672,443.97656
151,474.54672,469.9176
151,498.08432,470.32098
151,498.08417,444.4037
151,474.54672,443.97656
152,390.27292,547.3453
152,403.94,547.29755
152,405.45285,524.09
152,434.30533,523.76953
152,435.82382,518.72626
152,479.86176,518.7262
152,480.62112,542.5905
152,493.5347,561.05023
152,505.68292,551.48535
152,495.80658,539.2322
152,495.8065,516.93427
152,479.86774,502.0119
152,435.82965,502.81946
152,434.311,508.49197
152,403.1808,509.16885
152,390.26736,520.49445
152,390.27292,547.3453
153,393.30457,566.64484
153,384.95248,576.76733
153,403.18066,590.19684
153,421.39783,600.41797
153,431.26816,604.5952
153,439.62036,608.17896
153,451.00946,609.9115
153,462.39856,609.30634
153,474.54712,606.9803
153,487.4547,600.4179
153,499.60883,592.6759
153,521.62195,571.20166
153,514.035,562.49786
153,497.3252,579.5203
153,485.17676,586.68805
153,474.5528,592.6761
153,461.645,596.18896
153,448.73737,596.8299
153,435.82965,593.8396
153,419.11978,584.8487
153,393.30457,566.64484
154,408.48987,452.46136
154,407.73062,477.51245
154,431.26807,477.93964
154,431.26804,452.90054
154,408.48987,452.46136
155,291.5615,399.47574
155,282.45026,409.59818
155,332.56808,450.73654
155,359.13696,451.92746
155,359.137,469.71594
155,352.30353,469.83463
155,352.30914,497.84842
155,367.49475,497.48026
155,367.48904,472.46902
155,372.80402,472.67075
155,372.80386,447.67917
155,360.65555,437.8296
155,337.118,437.33112
155,291.5615,399.47574
156,502.64563,422.11072
156,504.91785,519.9247
156,568.69684,519.3195
156,566.4189,477.5836
156,581.60443,474.5931
156,574.0172,416.14072
156,502.64563,422.11072
157,668.9204,215.77591
157,669.6837,250.34564
157,674.9947,271.8471
157,686.38806,287.9403
157,712.1992,311.79102
157,740.29236,328.40466
157,785.0894,264.08606
157,720.5511,228.31923
157,684.86523,216.3811
157,668.9204,215.77591
158,151.85922,365.41602
158,139.70654,355.99548
158,135.15092,361.06262
158,110.85421,341.1262
158,86.55741,371.18512
158,106.298546,385.98315
158,113.89458,375.70538
158,131.35464,389.12784
158,122.24332,399.77246
158,132.11043,406.76324
158,159.44774,371.30374
158,151.85922,365.41602
159,83.52025,282.3138
159,97.190735,290.48892
159,117.692085,255.52808
159,103.265564,247.35213
159,83.52025,282.3138
160,121.48389,176.36603
160,134.39154,184.03204
160,153.37337,151.65913
160,139.70049,143.99884
160,121.48389,176.36603
161,569.45557,233.41014
161,569.4599,245.96725
161,665.88727,246.5008
161,665.8871,233.93353
161,569.45557,233.41014
162,581.60956,364.53094
162,582.36884,376.81335
162,624.1288,373.24103
162,664.35986,404.25482
162,672.7171,394.68137
162,628.67914,360.68274
162,581.60956,364.53094
163,539.0846,239.9607
163,539.08466,264.08612
163,562.6222,264.53705
163,562.62213,240.42345
163,539.0846,239.9607
164,507.95462,341.6363
