xcorn,ycorn
1.3367137,103.69918
1.3333,103.69918
1.3333,103.69999
1.3367137,103.69999
1.3367137,103.69918
1.3333,103.69918
1.3298863,103.69918
1.3298863,103.69999
1.3333,103.69999
1.3333,103.69918
1.3367137,103.69999
1.3333,103.69999
1.3333,103.700806
1.3367137,103.700806
1.3367137,103.69999
1.3333,103.69999
1.3298863,103.69999
1.3298863,103.700806
1.3333,103.700806
1.3333,103.69999
103.73487,1.3370935
103.73568,1.3370935
103.73568,1.3379047
103.73487,1.3379047
103.73487,1.3370935
103.73568,1.3370935
103.73649,1.3370935
103.73649,1.3379047
103.73568,1.3379047
103.73568,1.3370935
103.73487,1.3379047
103.73568,1.3379047
103.73568,1.3387159
103.73487,1.3387159
103.73487,1.3379047
103.73568,1.3379047
103.73649,1.3379047
103.73649,1.3387159
103.73568,1.3387159
103.73568,1.3379047
