xvert,yvert
1.3381231,103.698006
1.3348258,103.69822
1.3357092,103.699
1.3390065,103.69879
1.3381231,103.698006
1.3348258,103.69822
1.3315283,103.698425
1.3324119,103.69921
1.3357092,103.699
1.3348258,103.69822
1.3315283,103.698425
1.328231,103.69864
1.3291146,103.69942
1.3324119,103.69921
1.3315283,103.698425
1.328231,103.69864
1.3249336,103.698845
1.3258171,103.69963
1.3291146,103.69942
1.328231,103.69864
1.3390065,103.69879
1.3357092,103.699
1.3365928,103.69978
1.3398901,103.69957
1.3390065,103.69879
1.3357092,103.699
1.3324119,103.69921
1.3332953,103.69999
1.3365928,103.69978
1.3357092,103.699
1.3324119,103.69921
1.3291146,103.69942
1.329998,103.7002
1.3332953,103.69999
1.3324119,103.69921
1.3291146,103.69942
1.3258171,103.69963
1.3267007,103.70041
1.329998,103.7002
1.3291146,103.69942
1.3398901,103.69957
1.3365928,103.69978
1.3374763,103.70057
1.3407736,103.700356
1.3398901,103.69957
1.3365928,103.69978
1.3332953,103.69999
1.3341789,103.700775
1.3374763,103.70057
1.3365928,103.69978
1.3332953,103.69999
1.329998,103.7002
1.3308816,103.70099
1.3341789,103.700775
1.3332953,103.69999
1.329998,103.7002
1.3267007,103.70041
1.3275843,103.701195
1.3308816,103.70099
1.329998,103.7002
1.3407736,103.700356
1.3374763,103.70057
1.3383598,103.70135
1.3416572,103.70114
1.3407736,103.700356
1.3374763,103.70057
1.3341789,103.700775
1.3350625,103.70156
1.3383598,103.70135
1.3374763,103.70057
1.3341789,103.700775
1.3308816,103.70099
1.331765,103.70177
1.3350625,103.70156
1.3341789,103.700775
1.3308816,103.70099
1.3275843,103.701195
1.3284677,103.70198
1.331765,103.70177
1.3308816,103.70099
103.74066,1.330838
103.74144,1.3310479
103.74123,1.3318315
103.74045,1.3316215
103.74066,1.330838
103.74144,1.3310479
103.74222,1.3312578
103.74201,1.3320414
103.74123,1.3318315
103.74144,1.3310479
103.74222,1.3312578
103.743004,1.3314679
103.74279,1.3322514
103.74201,1.3320414
103.74222,1.3312578
103.743004,1.3314679
103.74378,1.3316778
103.743576,1.3324614
103.74279,1.3322514
103.743004,1.3314679
103.74045,1.3316215
103.74123,1.3318315
103.74102,1.332615
103.74024,1.3324051
103.74045,1.3316215
103.74123,1.3318315
103.74201,1.3320414
103.7418,1.332825
103.74102,1.332615
103.74123,1.3318315
103.74201,1.3320414
103.74279,1.3322514
103.742584,1.3330349
103.7418,1.332825
103.74201,1.3320414
103.74279,1.3322514
103.743576,1.3324614
103.74336,1.3332449
103.742584,1.3330349
103.74279,1.3322514
103.74024,1.3324051
103.74102,1.332615
103.740814,1.3333986
103.74003,1.3331887
103.74024,1.3324051
103.74102,1.332615
103.7418,1.332825
103.74159,1.3336085
103.740814,1.3333986
103.74102,1.332615
103.7418,1.332825
103.742584,1.3330349
103.74237,1.3338184
103.74159,1.3336085
103.7418,1.332825
103.742584,1.3330349
103.74336,1.3332449
103.74316,1.3340285
103.74237,1.3338184
103.742584,1.3330349
103.74003,1.3331887
103.740814,1.3333986
103.7406,1.3341821
103.73982,1.3339722
103.74003,1.3331887
103.740814,1.3333986
103.74159,1.3336085
103.74139,1.3343921
103.7406,1.3341821
103.740814,1.3333986
103.74159,1.3336085
103.74237,1.3338184
103.742165,1.334602
103.74139,1.3343921
103.74159,1.3336085
103.74237,1.3338184
103.74316,1.3340285
103.74294,1.334812
103.742165,1.334602
103.74237,1.3338184
